system,feature,region,estimate,p_bh
A01,centroid,Boundary,-0.119282746137898,4.18781007462103e-54
A01,centroid,Interior_A,-0.0588407476533901,3.05171525084298e-14
A01,centroid,Interior_B,-0.0675934812324688,2.35088913325551e-18
A01,cpps,Boundary,0.0725162123783702,0.0120670910694701
A01,cpps,Interior_A,0.153041884839896,8.08202916229124e-08
A01,cpps,Interior_B,-0.0633507137334407,0.029140859364192
A01,energy,Boundary,-0.156623400538685,8.05380305791091e-55
A01,energy,Interior_A,-0.187100673899889,1.4389553058725298e-77
A01,energy,Interior_B,-0.230035966308941,1.54331424703799e-116
A01,flatness,Boundary,-0.109588509725145,7.82068894609628e-57
A01,flatness,Interior_A,-0.172595465044378,9.28155843341304e-139
A01,flatness,Interior_B,-0.189809178435169,2.7500288247444e-167
A01,flux,Boundary,-0.106429694216622,6.11155051211269e-18
A01,flux,Interior_A,-0.136696597105438,1.1101328585193099e-28
A01,flux,Interior_B,-0.13104116658481,1.81178052507385e-26
A01,tilt,Boundary,-0.0532809834466736,7.19794393254982e-08
A01,tilt,Interior_A,-0.0319117153890025,0.0014208109386403
A01,tilt,Interior_B,-0.0413296761589569,3.14794562667689e-05
A02,centroid,Boundary,0.0152738566469966,0.0441704250582425
A02,centroid,Interior_A,0.0217100005309721,0.0039121803048669
A02,centroid,Interior_B,0.0122548308162661,0.1073529353503
A02,cpps,Boundary,0.118103440005083,0.0011242539925072
A02,cpps,Interior_A,0.16083936835552,7.97034272828472e-06
A02,cpps,Interior_B,0.104638127607757,0.0039121803048669
A02,energy,Boundary,-0.249143134332953,1.46234653323155e-139
A02,energy,Interior_A,-0.238210344076413,8.50195119966677e-128
A02,energy,Interior_B,-0.240370727061273,4.4045034880837195e-130
A02,flatness,Boundary,0.104398142304327,1.1171484483273399e-42
A02,flatness,Interior_A,0.0686075099116265,3.00799667172283e-19
A02,flatness,Interior_B,0.0899419974661312,4.67521133426384e-32
A02,flux,Boundary,-0.0743274548326003,5.7543584421545e-09
A02,flux,Interior_A,-0.116659286092685,3.28235327780071e-20
A02,flux,Interior_B,-0.0802973669456423,2.93771497122847e-10
A02,tilt,Boundary,0.125357047996369,2.0099271393889097e-42
A02,tilt,Interior_A,0.0881350993749524,1.07419217071415e-21
A02,tilt,Interior_B,0.0627817615743854,1.1638101659323099e-11
A03,centroid,Boundary,-0.128998279843101,3.92047315043711e-54
A03,centroid,Interior_A,-0.0699816143329835,5.96082218067628e-17
A03,centroid,Interior_B,-0.100359749605121,2.29662587636103e-33
A03,cpps,Boundary,0.433570600402413,1.27532041451588e-46
A03,cpps,Interior_A,0.372498848356833,8.07903862062965e-35
A03,cpps,Interior_B,0.334830033330309,2.0066727484214099e-28
A03,energy,Boundary,-0.133289406786575,3.78773943342464e-40
A03,energy,Interior_A,-0.0940713692881551,1.0319309320084501e-20
A03,energy,Interior_B,-0.0790788614244874,4.8900467837277e-15
A03,flatness,Boundary,-0.142143547013758,4.21845824194323e-94
A03,flatness,Interior_A,-0.18323111151648,2.83383408336266e-155
A03,flatness,Interior_B,-0.203324444170949,7.60029276656297e-191
A03,flux,Boundary,-0.217620606440172,1.32152034935108e-81
A03,flux,Interior_A,-0.19484502073919,1.0018623641790301e-65
A03,flux,Interior_B,-0.206551080184716,1.1510568120502801e-73
A03,tilt,Boundary,0.261610867485655,2.03887148446194e-151
A03,tilt,Interior_A,0.249829622013565,2.6371941754003798e-138
A03,tilt,Interior_B,0.222899787266797,2.10146557321939e-110
A04,centroid,Boundary,-0.0246430806245552,0.0035758095299224
A04,centroid,Interior_A,-0.0265928306849529,0.0016293871391431
A04,centroid,Interior_B,-0.038989284918995,3.30751345975621e-06
A04,cpps,Boundary,0.0746831082205767,0.0099720044547637
A04,cpps,Interior_A,0.0382867409386615,0.193029925784491
A04,cpps,Interior_B,0.0318131542386539,0.283973974433995
A04,energy,Boundary,-0.0077864191146847,0.459081460356275
A04,energy,Interior_A,-0.0304653008152003,0.0025318834790038
A04,energy,Interior_B,-0.0198945508299377,0.050878976606757
A04,flatness,Boundary,-0.0969664343470236,7.63355748681037e-47
A04,flatness,Interior_A,-0.122158923375436,1.73216650968972e-73
A04,flatness,Interior_B,-0.151457993482158,3.51622993279046e-112
A04,flux,Boundary,-0.0066033894175562,0.607766789466445
A04,flux,Interior_A,0.0516206745244631,2.45031147524485e-05
A04,flux,Interior_B,0.039237389362546,0.0014399420679886
A04,tilt,Boundary,-0.0026427965757479,0.801466498169135
A04,tilt,Interior_A,-0.0015386001641213,0.882603935900079
A04,tilt,Interior_B,0.000493877670707,0.964370119831654
A07,centroid,Boundary,-0.0047803407853169,0.541987429732726
A07,centroid,Interior_A,0.0104893176046315,0.169899900330337
A07,centroid,Interior_B,0.0206590704861356,0.0058981042250956
A07,cpps,Boundary,0.334252534342253,6.78765180300742e-23
A07,cpps,Interior_A,0.35865303352098,3.8449442871197497e-26
A07,cpps,Interior_B,0.340456887231438,1.07612339667866e-23
A07,energy,Boundary,-0.045707885798986,1.11444391495299e-05
A07,energy,Interior_A,-0.0221207557526088,0.036130050478275
A07,energy,Interior_B,-0.0297603572160237,0.0045096431733006
A07,flatness,Boundary,-0.0823443784709888,5.97242092152891e-32
A07,flatness,Interior_A,-0.0934397112581157,9.94235983716957e-41
A07,flatness,Interior_B,-0.0982632798042204,7.640577618011591e-45
A07,flux,Boundary,-0.216014601952679,8.43723593550393e-48
A07,flux,Interior_A,-0.249877178872606,1.79417160321546e-63
A07,flux,Interior_B,-0.20510638525462,2.8405468995282697e-43
A07,tilt,Boundary,0.0191841601318214,0.0714281062085345
A07,tilt,Interior_A,0.0205634180398524,0.053264242748973
A07,tilt,Interior_B,0.0147999669488044,0.16850773516099
A08,centroid,Boundary,0.0729887319928263,8.36366026127641e-17
A08,centroid,Interior_A,0.138816498517857,5.90120449932334e-57
A08,centroid,Interior_B,0.14251379356552,5.883876271829331e-60
A08,cpps,Boundary,0.636653407416544,1.01287201857506e-66
A08,cpps,Interior_A,0.67050077775817,7.9763460963254e-74
A08,cpps,Interior_B,0.652981244742164,4.07908907154182e-70
A08,energy,Boundary,-0.101441794831454,3.31884554869634e-24
A08,energy,Interior_A,-0.139511031811784,1.75868210505727e-44
A08,energy,Interior_B,-0.197010512077912,3.70507107245946e-87
A08,flatness,Boundary,-0.190123059367442,3.9277132254159905e-155
A08,flatness,Interior_A,-0.273963681936417,6.76e-321
A08,flatness,Interior_B,-0.326552216900684,0.0
A08,flux,Boundary,-0.215151454064415,1.07418292334601e-45
A08,flux,Interior_A,-0.292405508971859,4.12609751265938e-83
A08,flux,Interior_B,-0.307181757201382,1.40816701098667e-91
A08,tilt,Boundary,0.535952082928938,0.0
A08,tilt,Interior_A,0.588125248202628,0.0
A08,tilt,Interior_B,0.552708070971837,0.0
A09,centroid,Boundary,0.0276812038653158,0.0010509968466114
A09,centroid,Interior_A,0.0999042903600288,1.06491227530559e-33
A09,centroid,Interior_B,0.135071086959387,2.47667975000001e-60
A09,cpps,Boundary,-0.0848290109222548,0.0139012693712789
A09,cpps,Interior_A,-0.177047959753271,2.01614645101526e-07
A09,cpps,Interior_B,-0.0264557516173728,0.459081460356275
A09,energy,Boundary,-0.117264369376243,1.0562795212262099e-30
A09,energy,Interior_A,-0.103627640689376,2.8405836810781402e-24
A09,energy,Interior_B,-0.143965286491153,1.7280432152003e-45
A09,flatness,Boundary,0.040013836497406,2.98202394038293e-06
A09,flatness,Interior_A,0.0077204710725326,0.388821867465269
A09,flatness,Interior_B,0.0669346557485644,2.70485092627193e-15
A09,flux,Boundary,-0.0860778962676458,1.3976660646672499e-11
A09,flux,Interior_A,-0.106176185982339,6.06515775028956e-17
A09,flux,Interior_B,-0.120204631194798,2.52581354487647e-21
A09,tilt,Boundary,0.274619051102751,2.51682642824868e-139
A09,tilt,Interior_A,0.291921270628349,4.50212798573381e-157
A09,tilt,Interior_B,0.286426505709878,2.03887148446194e-151
