system,feature,estimate,ci_lo,ci_hi,p_bh,classification
A01,centroid,-0.0560656316949682,-0.0672455048698992,-0.0448857585200371,4.60798780778257e-22,equivalent
A02,centroid,-0.0017085590266225,-0.0126713350373935,0.0092542169841484,0.760496153016763,equivalent
A03,centroid,-0.0438275978740487,-0.0546214900815504,-0.0330337056665469,7.478006629836601e-15,equivalent
A04,centroid,0.0081479771774187,-0.0026198767334749,0.0189158310883123,0.162411037072886,equivalent
A07,centroid,-0.0203545348307004,-0.0312381331862344,-0.0094709364751664,0.0004777296192684,equivalent
A08,centroid,-0.0676764140488622,-0.0791078590653885,-0.0562449690323359,3.3955282360338294e-30,equivalent
A09,centroid,-0.089806484794392,-0.101313413988032,-0.0782995556007515,1.60987641981777e-51,equivalent
A10,centroid,-0.0195672670529398,-0.0303771686747348,-0.0087573654311447,0.0007063536256709,equivalent
A11,centroid,-0.0307949726930317,-0.0414932982894152,-0.0200966470966482,5.6117477407933e-08,equivalent
A12,centroid,-0.0222289601378728,-0.0333530438311612,-0.0111048764445844,0.0001883461382107,equivalent
A01,cpps,0.0276706268251424,0.0026259517786691,0.0527153018716156,0.0455278426899106,equivalent
A02,cpps,-0.014635307976556,-0.0378832150608312,0.0086125991077192,0.241394282316467,equivalent
A03,cpps,0.0799061595588424,0.0573264298925182,0.102485889225167,1.4235303450878699e-11,equivalent
A04,cpps,0.039633160631919,0.0164612528324399,0.0628050684313981,0.0013738005305668,equivalent
A07,cpps,-0.0153024260339561,-0.0379606090192657,0.0073557569513535,0.214164284465753,equivalent
A08,cpps,-0.0250876038336234,-0.0499622128903787,-0.0002129947768681,0.0655503757166517,equivalent
A09,cpps,0.0169228447630673,-0.004810480703414,0.0386561702295487,0.15236905506311,equivalent
A10,cpps,0.0191509156173417,-0.0039634012616976,0.0422652324963811,0.127835897529396,equivalent
A11,cpps,0.0211478277758776,-0.0004617448660294,0.0427574004177845,0.0734671067201723,equivalent
A12,cpps,0.0226396417249591,-0.0008442217896855,0.0461235052396039,0.076727172592223,equivalent
A01,energy,0.0519449195657303,0.0416639660794868,0.0622258730519738,2.42881225270378e-22,equivalent
A02,energy,-0.0098525987641102,-0.0195674445973999,-0.0001377529308206,0.0653563700175553,equivalent
A03,energy,-0.0467142914302541,-0.0556959273698793,-0.0377326554906288,1.40677922626938e-23,equivalent
A04,energy,0.0173935067078842,0.008042605621805,0.0267444077939634,0.0004999828811707,equivalent
A07,energy,-0.0197673293146697,-0.0296676712984205,-0.0098669873309188,0.0001883461382107,equivalent
A08,energy,0.0668189771133938,0.0561488307987186,0.077489123428069,1.25300549765926e-33,equivalent
A09,energy,0.0065320942140218,-0.0049605932051478,0.0180247816331916,0.284235074354031,equivalent
A10,energy,0.0058545753811432,-0.0037797279603339,0.0154888787226203,0.254881412926893,equivalent
A11,energy,0.0195852210518714,0.0098697780484993,0.0293006640552434,0.0001728996014827,equivalent
A12,energy,-0.0115364397428998,-0.0209712492287722,-0.0021016302570273,0.0254617993206765,equivalent
A01,flatness,0.0716138120146285,0.0605497540086222,0.0826778700206347,8.466561887355009e-36,equivalent
A02,flatness,0.0251233886154483,0.0123733508806825,0.0378734263502141,0.0002249041070351,equivalent
A03,flatness,0.0511342308299559,0.0404866975686502,0.0617817640912617,2.41946212448013e-20,equivalent
A04,flatness,0.0398420240817736,0.0291026221942367,0.0505814259693105,1.4246489474272599e-12,equivalent
A07,flatness,0.0135071170601793,0.0026094444935973,0.0244047896267612,0.0238878594336908,equivalent
A08,flatness,0.110134890051108,0.0999976490755032,0.120272131026713,7.7743740062277e-99,inconclusive
A09,flatness,0.0026862730868575,-0.0096029987062792,0.0149755448799942,0.6913900007105,equivalent
A10,flatness,-0.0336002848605044,-0.0455237768406478,-0.0216767928803611,9.98871558115107e-08,equivalent
A11,flatness,-0.0332059482945976,-0.0449771165662851,-0.02143478002291,9.98871558115107e-08,equivalent
A12,flatness,-0.0331543240889282,-0.0455223588062578,-0.0207862893715987,4.05968952715233e-07,equivalent
A01,flux,0.0274391876285024,0.0170899881205874,0.0377883871364173,5.29706218398172e-07,equivalent
A02,flux,0.0241508716865632,0.013447526752538,0.0348542166205884,2.2521940630869e-05,equivalent
A03,flux,-0.0169225559782186,-0.0273997786286641,-0.006445333327773,0.0025786258048401,equivalent
A04,flux,-0.0520324213610608,-0.0630299013614919,-0.0410349413606298,8.338517196576231e-20,equivalent
A07,flux,0.0114771801109341,0.0004551157372973,0.0224992444845709,0.0589448755968596,equivalent
A08,flux,0.0846421790222056,0.0740920836218312,0.0951922744225799,3.07977946856757e-54,equivalent
A09,flux,0.0271125123209229,0.0165219754915314,0.0377030491503143,1.30772215365747e-06,equivalent
A10,flux,-0.0250908217818144,-0.0358818352511723,-0.0142998083124565,1.24399650921323e-05,equivalent
A11,flux,-0.083750406460503,-0.0946532056321479,-0.0728476072888581,4.76078460485374e-50,equivalent
A12,flux,0.0095072910499257,-0.0013093804663367,0.0203239625661883,0.108436152064895,equivalent
A01,tilt,-0.0166602876726939,-0.0260961251742117,-0.0072244501711761,0.0009511645784351,equivalent
A02,tilt,0.0498986175216997,0.0407480684764041,0.0590491665669953,8.70428699910517e-26,equivalent
A03,tilt,0.0252461628454746,0.0162509573690258,0.0342413683219234,1.0796989333584e-07,equivalent
A04,tilt,-0.0021204353290407,-0.0115996983119375,0.0073588276538559,0.6913900007105,equivalent
A07,tilt,0.001502467637493,-0.008157963000358,0.0111628982753441,0.760496153016763,equivalent
A08,tilt,-0.0344645766582954,-0.0441426905273482,-0.0247864627892425,1.11010946072e-11,equivalent
A09,tilt,-0.0145548370663628,-0.0241472055701124,-0.0049624685626131,0.0047678875372982,equivalent
A10,tilt,-0.0084078738378909,-0.0180744514518962,0.0012587037761144,0.110300560025939,equivalent
A11,tilt,0.0102273170476644,0.0006241328491731,0.0198305012461557,0.0539368140353467,equivalent
A12,tilt,0.006214100385566,-0.0034813590448033,0.0159095598159355,0.236653962482928,equivalent
