system,feature,p_bh
A01,centroid,1.2421053284158099e-26
A02,centroid,0.0020696511076838
A03,centroid,7.19948473620015e-75
A04,centroid,0.987254752664256
A07,centroid,1.59369822543298e-14
A08,centroid,7.5559872218004e-28
A09,centroid,8.80500783272276e-15
A10,centroid,0.69578620854138
A11,centroid,0.0011335926494672
A12,centroid,0.0010807276288991
A01,cpps,1.64788125310513e-08
A02,cpps,0.504993908813722
A03,cpps,0.0047611829525655
A04,cpps,0.0112742217809489
A07,cpps,0.987254752664256
A08,cpps,0.005002663370532
A09,cpps,0.0089052697744441
A10,cpps,0.406387884720172
A11,cpps,0.0610686193267831
A12,cpps,0.372618824682752
A01,energy,5.3617137323373594e-11
A02,energy,1.16464391436656e-13
A03,energy,3.1938951367284504e-35
A04,energy,0.15574958126443
A07,energy,3.64232523127951e-08
A08,energy,3.0667908527603e-28
A09,energy,1.04975314396247e-36
A10,energy,0.560953028174132
A11,energy,0.0057258681923005
A12,energy,0.010460694740255
A01,flatness,3.2889280128135796e-11
A02,flatness,2.86621926196307e-11
A03,flatness,1.33087641177712e-39
A04,flatness,3.0801437639231998e-12
A07,flatness,0.123075965373639
A08,flatness,1.02851264538013e-43
A09,flatness,0.25975021243044
A10,flatness,0.0472023119790165
A11,flatness,3.25675583855973e-08
A12,flatness,0.0001429755803359
A01,flux,0.0103055278282238
A02,flux,1.53821380355737e-43
A03,flux,1.45875402399036e-26
A04,flux,1.41479102769105e-06
A07,flux,0.0005094101994356
A08,flux,2.19416717179768e-06
A09,flux,1.38279128325815e-05
A10,flux,0.504866231842234
A11,flux,1.7176866113824001e-10
A12,flux,2.19416717179768e-06
A01,tilt,2.86533960835108e-55
A02,tilt,2.1133449486744098e-83
A03,tilt,2.19416717179768e-06
A04,tilt,0.846858635325876
A07,tilt,6.082048021601541e-10
A08,tilt,2.28115208347095e-31
A09,tilt,0.0105956364969111
A10,tilt,0.450929397218419
A11,tilt,9.66186371759557e-07
A12,tilt,0.253292519281103
