system	feature	estimate	SE	z	p_value	CI95_low	CI95_high	SESOI_lower	SESOI_upper	TOST_p_lower	TOST_p_upper	TOST_p	TOST_equivalent_alpha_0_05	p_BH_60	TOST_p_BH_60	average_classification	SESOI_classification
A01	centroid	-0.0560656316949682	0.00570412174056079	-9.82896828731712	8.44797764760138e-23	-0.0672455048698992	-0.0448857585200371	-0.1	0.1	6.66133814775094e-15	4.08880826887364e-165	6.66133814775094e-15	TRUE	4.60798780778257e-22	9.29489043872224e-15	SIGNIFICANT_NEGATIVE	EQUIVALENT
A01	cpps	0.0276706268251424	0.0127781302330157	2.16546758567602	0.0303518951266071	0.00262595177866915	0.0527153018716156	-0.1	0.1	0	7.55087422931084e-09	7.55087422931084e-09	TRUE	0.0455278426899106	8.71254718766635e-09	SIGNIFICANT_POSITIVE	EQUIVALENT
A01	energy	0.0519449195657303	0.00524548081869787	9.90279468386752	4.04802042117297e-23	0.0416639660794868	0.0622258730519738	-0.1	0.1	0	2.56534578382247e-20	2.56534578382247e-20	TRUE	2.42881225270378e-22	3.75416456169142e-20	SIGNIFICANT_POSITIVE	EQUIVALENT
A01	flatness	0.0716138120146285	0.00564503128285934	12.6861674322475	7.05546823946251e-37	0.0605497540086222	0.0826778700206347	-0.1	0.1	0	2.47131930257178e-07	2.47131930257178e-07	TRUE	8.46656188735501e-36	2.69598469371467e-07	SIGNIFICANT_POSITIVE	EQUIVALENT
A01	flux	0.0274391876285024	0.00528030085733621	5.19651973814704	2.03054050385966e-07	0.0170899881205874	0.0377883871364173	-0.1	0.1	0	2.85218458663509e-43	2.85218458663509e-43	TRUE	5.29706218398172e-07	4.75364097772515e-43	SIGNIFICANT_POSITIVE	EQUIVALENT
A01	tilt	-0.0166602876726939	0.00481429127062866	-3.46058988460795	0.00053899326111326	-0.0260961251742117	-0.00722445017117616	-0.1	0.1	0	5.1085604049791e-130	5.1085604049791e-130	TRUE	0.000951164578435165	6.13027248597492e-129	SIGNIFICANT_NEGATIVE	EQUIVALENT
A02	centroid	-0.00170855902662252	0.00559335584594614	-0.305462243719184	0.760014121790268	-0.0126713350373935	0.00925421698414848	-0.1	0.1	0	3.46677399889423e-74	3.46677399889423e-74	TRUE	0.760496153016763	8.32025759734615e-74	NOT_SIGNIFICANT	EQUIVALENT
A02	cpps	-0.014635307976556	0.0118613950397312	-1.23386059797631	0.21725485408482	-0.0378832150608312	0.0086125991077192	-0.1	0.1	3.08086889333481e-13	2.13198973716832e-22	3.08086889333481e-13	TRUE	0.241394282316467	4.01852464348019e-13	NOT_SIGNIFICANT	EQUIVALENT
A02	energy	-0.00985259876411028	0.00495664507609278	-1.9877555509536	0.0468387318459146	-0.0195674445973999	-0.00013775293082063	-0.1	0.1	0	3.9351132081295e-109	3.9351132081295e-109	TRUE	0.0653563700175553	1.96755660406475e-108	NOT_SIGNIFICANT	EQUIVALENT
A02	flatness	0.0251233886154483	0.00650524082857465	3.86202283320433	0.000112452053517593	0.0123733508806825	0.0378734263502141	-0.1	0.1	0	5.86043459925027e-31	5.86043459925027e-31	TRUE	0.000224904107035186	9.2533177882899e-31	SIGNIFICANT_POSITIVE	EQUIVALENT
A02	flux	0.0241508716865632	0.00546099061944598	4.42243420096066	9.7595076067099e-06	0.013447526752538	0.0348542166205884	-0.1	0.1	0	3.67949272776371e-44	3.67949272776371e-44	TRUE	2.2521940630869e-05	6.3077018190235e-44	SIGNIFICANT_POSITIVE	EQUIVALENT
A02	tilt	0.0498986175216997	0.00466873326115886	10.6878278818855	1.16057159988069e-26	0.0407480684764041	0.0590491665669953	-0.1	0.1	0	3.6300387329773e-27	3.6300387329773e-27	TRUE	8.70428699910517e-26	5.44505809946595e-27	SIGNIFICANT_POSITIVE	EQUIVALENT
A03	centroid	-0.0438275978740487	0.00550718905686156	-7.95825191790767	1.74486821362854e-15	-0.0546214900815504	-0.0330337056665469	-0.1	0.1	0	1.18923450005992e-150	1.18923450005992e-150	TRUE	7.4780066298366e-15	1.78385175008988e-149	SIGNIFICANT_NEGATIVE	EQUIVALENT
A03	cpps	0.0799061595588424	0.0115204819294795	6.9360084107569	4.03333597774896e-12	0.0573264298925182	0.102485889225167	-0.1	0.1	0	0.0405635037704841	0.0405635037704841	TRUE	1.42353034508787e-11	0.0419590071955467	SIGNIFICANT_POSITIVE	EQUIVALENT
A03	energy	-0.0467142914302541	0.00458255152159492	-10.1939478934643	2.11016883940407e-24	-0.0556959273698793	-0.0377326554906288	-0.1	0.1	0	3.28088249047729e-225	3.28088249047729e-225	TRUE	1.40677922626938e-23	1.96852949428637e-223	SIGNIFICANT_NEGATIVE	EQUIVALENT
A03	flatness	0.0511342308299559	0.00543251475297102	9.41262622471312	4.83892424896025e-21	0.0404866975686502	0.0617817640912617	-0.1	0.1	0	1.18056945974701e-19	1.18056945974701e-19	TRUE	2.41946212448013e-20	1.68652779963859e-19	SIGNIFICANT_POSITIVE	EQUIVALENT
A03	flux	-0.0169225559782186	0.0053456199874531	-3.16568630354162	0.00154717548290408	-0.0273997786286641	-0.00644533332777306	-0.1	0.1	0	2.36946457858175e-106	2.36946457858175e-106	TRUE	0.00257862580484013	9.477858314327e-106	SIGNIFICANT_NEGATIVE	EQUIVALENT
A03	tilt	0.0252461628454746	0.00458947488188652	5.50088267072008	3.77894626675439e-08	0.0162509573690258	0.0342413683219234	-0.1	0.1	0	5.99458574987575e-60	5.99458574987575e-60	TRUE	1.0796989333584e-07	1.24025912066395e-59	SIGNIFICANT_POSITIVE	EQUIVALENT
A04	centroid	0.0081479771774187	0.0054939039675367	1.48309421234241	0.138049381511953	-0.00261987673347494	0.0189158310883123	-0.1	0.1	0	4.77337171841156e-63	4.77337171841156e-63	TRUE	0.162411037072886	1.06074927075812e-62	NOT_SIGNIFICANT	EQUIVALENT
A04	cpps	0.039633160631919	0.0118226191819116	3.35231643869211	0.000801383642830649	0.0164612528324399	0.0628050684313981	-0.1	0.1	0	1.64484674385945e-07	1.64484674385945e-07	TRUE	0.00137380053056683	1.82760749317717e-07	SIGNIFICANT_POSITIVE	EQUIVALENT
A04	energy	0.0173935067078842	0.00477095556848896	3.64570712474546	0.000266657536624377	0.00804260562180505	0.0267444077939634	-0.1	0.1	0	1.82986969201214e-67	1.82986969201214e-67	TRUE	0.000499982881170707	4.22277621233571e-67	SIGNIFICANT_POSITIVE	EQUIVALENT
A04	flatness	0.0398420240817736	0.00547938736234334	7.27125524207044	3.56162236856814e-13	0.0291026221942367	0.0505814259693105	-0.1	0.1	0	2.4122230489225e-28	2.4122230489225e-28	TRUE	1.42464894742726e-12	3.71111238295769e-28	SIGNIFICANT_POSITIVE	EQUIVALENT
A04	flux	-0.0520324213610608	0.00561106228847966	-9.27318548359213	1.80667872592485e-20	-0.0630299013614919	-0.0410349413606298	-0.1	0.1	0	5.61980717483065e-162	5.61980717483065e-162	TRUE	8.33851719657623e-20	1.12396143496613e-160	SIGNIFICANT_NEGATIVE	EQUIVALENT
A04	tilt	-0.00212043532904075	0.00483644753560164	-0.438428270632936	0.661075856623348	-0.0115996983119375	0.00735882765385596	-0.1	0.1	0	2.91016573489712e-99	2.91016573489712e-99	TRUE	0.6913900007105	9.18999705756985e-99	NOT_SIGNIFICANT	EQUIVALENT
A07	centroid	-0.0203545348307004	0.00555295834075647	-3.66552989985651	0.000246826969955374	-0.0312381331862344	-0.00947093647516645	-0.1	0.1	0	1.80697474460423e-104	1.80697474460423e-104	TRUE	0.000477729619268466	6.37755792213258e-104	SIGNIFICANT_NEGATIVE	EQUIVALENT
A07	cpps	-0.0153024260339561	0.0115605098685662	-1.32368089365715	0.185609046536986	-0.0379606090192657	0.00735575695135359	-0.1	0.1	1.18127729820117e-13	9.92246947574694e-24	1.18127729820117e-13	TRUE	0.214164284465753	1.57503639760156e-13	NOT_SIGNIFICANT	EQUIVALENT
A07	energy	-0.0197673293146697	0.00505128770826579	-3.91332477109212	9.10339668018638e-05	-0.0296676712984205	-0.00986698733091886	-0.1	0.1	0	1.41310980959577e-124	1.41310980959577e-124	TRUE	0.000188346138210753	1.21123697965352e-123	SIGNIFICANT_NEGATIVE	EQUIVALENT
A07	flatness	0.0135071170601793	0.00556013919262872	2.42927678466866	0.0151289776413375	0.00260944449359737	0.0244047896267612	-0.1	0.1	0	7.25681536178281e-55	7.25681536178281e-55	TRUE	0.0238878594336908	1.3194209748696e-54	SIGNIFICANT_POSITIVE	EQUIVALENT
A07	flux	0.0114771801109341	0.00562360556651927	2.04089351132034	0.0412614129178017	0.00045511573729738	0.0224992444845709	-0.1	0.1	0	3.94086179520252e-56	3.94086179520252e-56	TRUE	0.0589448755968596	7.38911586600473e-56	NOT_SIGNIFICANT	EQUIVALENT
A07	tilt	0.00150246763749301	0.00492888171111884	0.304829315360452	0.760496153016763	-0.00815796300035806	0.0111628982753441	-0.1	0.1	0	3.81379707748781e-89	3.81379707748781e-89	TRUE	0.760496153016763	1.08965630785366e-88	NOT_SIGNIFICANT	EQUIVALENT
A08	centroid	-0.0676764140488622	0.005832477079526	-11.6033741969479	3.96144960870613e-31	-0.0791078590653885	-0.0562449690323359	-0.1	0.1	1.49518449843455e-08	4.69496539143606e-182	1.49518449843455e-08	TRUE	3.39552823603383e-30	1.692661696341e-08	SIGNIFICANT_NEGATIVE	EQUIVALENT
A08	cpps	-0.0250876038336234	0.0126913602764964	-1.97674664394203	0.0480702755255446	-0.0499622128903787	-0.000212994776868189	-0.1	0.1	1.78876669032491e-09	3.22459357367392e-23	1.78876669032491e-09	TRUE	0.0655503757166517	2.10443140038225e-09	NOT_SIGNIFICANT	EQUIVALENT
A08	energy	0.0668189771133938	0.0054440522371023	12.2737575253245	1.25300549765926e-34	0.0561488307987186	0.077489123428069	-0.1	0.1	0	5.47486101070129e-10	5.47486101070129e-10	TRUE	1.25300549765926e-33	6.56983321284155e-10	SIGNIFICANT_POSITIVE	EQUIVALENT
A08	flatness	0.110134890051108	0.00517215676184171	21.2938035566987	1.29572900103795e-100	0.0999976490755032	0.120272131026713	-0.1	0.1	0	0.974973422854537	0.974973422854537	FALSE	7.7743740062277e-99	0.974973422854537	SIGNIFICANT_POSITIVE	INCONCLUSIVE
A08	flux	0.0846421790222056	0.00538280064510989	15.7245613580544	1.02659315618919e-55	0.0740920836218312	0.0951922744225799	-0.1	0.1	0	0.00216455681625324	0.00216455681625324	TRUE	3.07977946856757e-54	0.00227848085921394	SIGNIFICANT_POSITIVE	EQUIVALENT
A08	tilt	-0.0344645766582954	0.00493790393363989	-6.9795964282542	2.96029189525333e-12	-0.0441426905273482	-0.0247864627892425	-0.1	0.1	0	1.39125905803668e-163	1.39125905803668e-163	TRUE	1.11010946072e-11	4.17377717411004e-162	SIGNIFICANT_NEGATIVE	EQUIVALENT
A09	centroid	-0.089806484794392	0.00587099012247453	-15.2966506365948	8.04938209908886e-53	-0.101313413988032	-0.0782995556007515	-0.1	0.1	0.0412596904089543	1.34463335555096e-229	0.0412596904089543	TRUE	1.60987641981777e-51	0.0419590071955467	SIGNIFICANT_NEGATIVE	EQUIVALENT
A09	cpps	0.0169228447630673	0.0110886351167221	1.52614317135813	0.126974212552592	-0.00481048070341406	0.0386561702295487	-0.1	0.1	0	3.38903078363478e-14	3.38903078363478e-14	TRUE	0.15236905506311	4.62140561404743e-14	NOT_SIGNIFICANT	EQUIVALENT
A09	energy	0.00653209421402185	0.00586372377748906	1.11398395659405	0.265286069397096	-0.00496059320514786	0.0180247816331916	-0.1	0.1	0	1.67109043704373e-57	1.67109043704373e-57	TRUE	0.284235074354031	3.23436858782657e-57	NOT_SIGNIFICANT	EQUIVALENT
A09	flatness	0.0026862730868575	0.00627015184466292	0.428422333845714	0.668343667353483	-0.0096029987062792	0.0149755448799942	-0.1	0.1	0	1.26719529464594e-54	1.26719529464594e-54	TRUE	0.6913900007105	2.23622699055166e-54	NOT_SIGNIFICANT	EQUIVALENT
A09	flux	0.0271125123209229	0.00540343440641168	5.01764438719777	5.23088861462987e-07	0.0165219754915314	0.0377030491503143	-0.1	0.1	0	9.06453857887963e-42	9.06453857887963e-42	TRUE	1.30772215365747e-06	1.46992517495345e-41	SIGNIFICANT_POSITIVE	EQUIVALENT
A09	tilt	-0.0145548370663628	0.00489415549439326	-2.97392207563425	0.00294019731466724	-0.0241472055701124	-0.00496246856261317	-0.1	0.1	0	1.83662345939428e-121	1.83662345939428e-121	TRUE	0.00476788753729823	1.37746759454571e-120	SIGNIFICANT_NEGATIVE	EQUIVALENT
A10	centroid	-0.0195672670529398	0.00551535727547146	-3.54777869784821	0.000388494494119007	-0.0303771686747348	-0.00875736543114477	-0.1	0.1	0	1.62023849603448e-104	1.62023849603448e-104	TRUE	0.000706353625670922	6.0758943601293e-104	SIGNIFICANT_NEGATIVE	EQUIVALENT
