system	feature	chisq	df	p_value	p_BH_60	shape_classification
A01	centroid	130.91277692968	4	2.48421065683161e-27	1.24210532841581e-26	SIGNIFICANT_SHAPE
A01	cpps	44.0324816104342	4	6.316878136903e-09	1.64788125310513e-08	SIGNIFICANT_SHAPE
A01	energy	56.238322150238	4	1.78723791077912e-11	5.36171373233736e-11	SIGNIFICANT_SHAPE
A01	flatness	57.3563848822903	4	1.0414938707243e-11	3.28892801281358e-11	SIGNIFICANT_SHAPE
A01	flux	14.0806313759352	4	0.00704211068261959	0.0103055278282238	SIGNIFICANT_SHAPE
A01	tilt	266.973381497486	4	1.43266980417554e-56	2.86533960835108e-55	SIGNIFICANT_SHAPE
A02	centroid	17.9861904693211	4	0.00124179066461029	0.00206965110768382	SIGNIFICANT_SHAPE
A02	cpps	3.59950129430135	4	0.462911083079245	0.504993908813722	NOT_SIGNIFICANT_SHAPE
A02	energy	69.3549318899622	4	3.1057171049775e-14	1.16464391436656e-13	SIGNIFICANT_SHAPE
A02	flatness	57.7529735433748	4	8.5986577858892e-12	2.86621926196307e-11	SIGNIFICANT_SHAPE
A02	flux	211.471600798031	4	1.28184483629781e-44	1.53821380355737e-43	SIGNIFICANT_SHAPE
A02	tilt	399.525518426552	4	3.52224158112402e-85	2.11334494867441e-83	SIGNIFICANT_SHAPE
A03	centroid	358.631559083616	4	2.39982824540005e-76	7.19948473620015e-75	SIGNIFICANT_SHAPE
A03	cpps	16.0627846299928	4	0.00293606282074878	0.00476118295256559	SIGNIFICANT_SHAPE
A03	energy	171.818003341728	4	4.25852684897126e-36	3.19389513672845e-35	SIGNIFICANT_SHAPE
A03	flatness	192.792709646918	4	1.33087641177712e-40	1.33087641177712e-39	SIGNIFICANT_SHAPE
A03	flux	130.423769874144	4	3.16063371864577e-27	1.45875402399036e-26	SIGNIFICANT_SHAPE
A03	tilt	33.2370750542059	4	1.06814622631664e-06	2.19416717179768e-06	SIGNIFICANT_SHAPE
A04	centroid	0.406582609090405	4	0.981934426368686	0.987254752664256	NOT_SIGNIFICANT_SHAPE
A04	cpps	13.7135329563539	4	0.00826776263936253	0.0112742217809489	SIGNIFICANT_SHAPE
A04	energy	7.22224035435286	4	0.124599665011544	0.15574958126443	NOT_SIGNIFICANT_SHAPE
A04	flatness	62.4807925408583	4	8.7270739977824e-13	3.0801437639232e-12	SIGNIFICANT_SHAPE
A04	flux	34.333244787099	4	6.36655962460971e-07	1.41479102769105e-06	SIGNIFICANT_SHAPE
A04	tilt	1.54506438195479	4	0.818630014148347	0.846858635325876	NOT_SIGNIFICANT_SHAPE
A07	centroid	73.5768628571253	4	3.98424556358244e-15	1.59369822543298e-14	SIGNIFICANT_SHAPE
A07	cpps	0.337665722050332	4	0.987254752664256	0.987254752664256	NOT_SIGNIFICANT_SHAPE
A07	energy	42.1981247708524	4	1.51763551303313e-08	3.64232523127951e-08	SIGNIFICANT_SHAPE
A07	flatness	7.87126199252007	4	0.0964095062093505	0.123075965373639	NOT_SIGNIFICANT_SHAPE
A07	flux	21.2680564948339	4	0.000280175609689603	0.000509410199435642	SIGNIFICANT_SHAPE
A07	tilt	51.001987575191	4	2.23008427458723e-10	6.08204802160154e-10	SIGNIFICANT_SHAPE
A08	centroid	136.772358674878	4	1.38526432399674e-28	7.5559872218004e-28	SIGNIFICANT_SHAPE
A08	cpps	15.8914364926816	4	0.00316835346800365	0.00500266337053208	SIGNIFICANT_SHAPE
A08	energy	138.795341113932	4	5.11131808793384e-29	3.0667908527603e-28	SIGNIFICANT_SHAPE
A08	flatness	212.734703244154	4	6.85675096920087e-45	1.02851264538013e-43	SIGNIFICANT_SHAPE
A08	flux	33.3193291382912	4	1.02750053697803e-06	2.19416717179768e-06	SIGNIFICANT_SHAPE
A08	tilt	153.613612325515	4	3.42172812520643e-32	2.28115208347095e-31	SIGNIFICANT_SHAPE
A09	centroid	74.9371698566184	4	2.05450182763531e-15	8.80500783272276e-15	SIGNIFICANT_SHAPE
A09	cpps	14.4699329356011	4	0.00593684651629613	0.00890526977444419	SIGNIFICANT_SHAPE
A09	energy	178.996546997143	4	1.22471200128955e-37	1.04975314396247e-36	SIGNIFICANT_SHAPE
A09	flatness	5.77667655180632	4	0.2164585103587	0.25975021243044	NOT_SIGNIFICANT_SHAPE
A09	flux	29.1924128054422	4	7.14442163016711e-06	1.38279128325815e-05	SIGNIFICANT_SHAPE
A09	tilt	13.9083028947786	4	0.00759353948945299	0.0105956364969111	SIGNIFICANT_SHAPE
A10	centroid	2.40902510204479	4	0.660996898114311	0.69578620854138	NOT_SIGNIFICANT_SHAPE
A10	cpps	4.41947411720314	4	0.352202833424149	0.406387884720172	NOT_SIGNIFICANT_SHAPE
A10	energy	3.20851851610079	4	0.52355615962919	0.560953028174132	NOT_SIGNIFICANT_SHAPE
A10	flatness	10.3177824925924	4	0.0354017339842624	0.0472023119790165	SIGNIFICANT_SHAPE
A10	flux	3.65721292405763	4	0.454379608658011	0.504866231842234	NOT_SIGNIFICANT_SHAPE
A10	tilt	4.05719287603139	4	0.398320967542937	0.450929397218419	NOT_SIGNIFICANT_SHAPE
A11	centroid	19.3814751477113	4	0.000661262378855895	0.00113359264946725	SIGNIFICANT_SHAPE
A11	cpps	9.64666620286942	4	0.0468192748172004	0.0610686193267831	NOT_SIGNIFICANT_SHAPE
A11	energy	15.5284434584788	4	0.00372181432499537	0.00572586819230057	SIGNIFICANT_SHAPE
A11	flatness	42.5179713921422	4	1.30270233542389e-08	3.25675583855973e-08	SIGNIFICANT_SHAPE
A11	flux	53.7239137350377	4	6.01190313983839e-11	1.7176866113824e-10	SIGNIFICANT_SHAPE
A11	tilt	35.2196960361089	4	4.18680761095808e-07	9.66186371759557e-07	SIGNIFICANT_SHAPE
A12	centroid	19.5507350308224	4	0.00061241232304286	0.00108072762889916	SIGNIFICANT_SHAPE
A12	cpps	4.72472380723954	4	0.316726000980339	0.372618824682752	NOT_SIGNIFICANT_SHAPE
A12	energy	13.9914211328266	4	0.00732248631817853	0.010460694740255	SIGNIFICANT_SHAPE
A12	flatness	24.1005057598897	4	7.62536428458554e-05	0.000142975580335979	SIGNIFICANT_SHAPE
A12	flux	33.1803938787479	4	1.09708358589884e-06	2.19416717179768e-06	SIGNIFICANT_SHAPE
A12	tilt	5.89852733582039	4	0.206855557412901	0.253292519281103	NOT_SIGNIFICANT_SHAPE
