system	feature	relative_time_ms	estimate	SE	z	p_value	CI95_low	CI95_high	SESOI_lower	SESOI_upper	TOST_p_lower	TOST_p_upper	TOST_p	TOST_equivalent_alpha_0_05	p_Bonferroni_within_trajectory	p_BH_global	TOST_p_Bonferroni_within_trajectory	TOST_p_BH_global	predefined_followup_significant	SESOI_equivalent	followup_classification
A01	centroid	-20	0.0671188214077604	0.0161442960127131	4.15743252941514	3.21844285236655e-05	0.0354765826670893	0.0987610601484316	-0.1	0.1	0	0.0208397749700241	0.0208397749700241	TRUE	0.00028965985671299	9.97529071201329e-05	0.187557974730217	0.0276127018352819	TRUE	FALSE	SIGNIFICANT
A01	centroid	-15	0.0292091535567156	0.0106753723158536	2.73612504486969	0.00621673976579886	0.00828580829608655	0.0501324988173446	-0.1	0.1	0	1.66450803235826e-11	1.66450803235826e-11	TRUE	0.0559506578921897	0.0132324179753952	1.49805722912243e-10	5.76594285718874e-11	FALSE	TRUE	NOT_SIGNIFICANT
A01	centroid	-10	-0.0126017271457195	0.0127861746740503	-0.985574455767048	0.324341978109659	-0.0376621690068962	0.0124587147154572	-0.1	0.1	4.08961753350923e-12	6.45444510414023e-19	4.08961753350923e-12	TRUE	1	0.422919358989813	3.68065578015831e-11	1.55935057033086e-11	FALSE	TRUE	NOT_SIGNIFICANT
A01	centroid	-5	-0.0592733798530078	0.0104791513158417	-5.65631491201032	1.54657590024408e-08	-0.079812139020603	-0.0387346206854126	-0.1	0.1	5.08619816039779e-05	1.79331816776262e-52	5.08619816039779e-05	TRUE	1.39191831021967e-07	7.12769762721185e-08	0.000457757834435801	8.86738495069352e-05	TRUE	TRUE	SIGNIFICANT
A01	centroid	0	-0.0999987489269036	0.0129755050596658	-7.70673268339655	1.29079782393288e-14	-0.125430271525066	-0.0745672263287414	-0.1	0.1	0.499961534757146	6.6346076764673e-54	0.499961534757146	FALSE	1.16171804153959e-13	1.03654976770368e-13	1	0.563786411534654	TRUE	FALSE	SIGNIFICANT
A01	centroid	5	-0.123052408501297	0.0104791513158419	-11.7425929631603	7.70861853575114e-32	-0.143591167668893	-0.102513649333702	-0.1	0.1	0.986090713918925	7.75912142565733e-101	0.986090713918925	FALSE	6.93775668217603e-31	2.15029885470953e-30	1	1	TRUE	FALSE	SIGNIFICANT
A01	centroid	10	-0.124802066590333	0.01278617467405	-9.76070402382527	1.65998813373843e-22	-0.149862508451509	-0.0997416247291567	-0.1	0.1	0.973795360743063	1.70256133095951e-69	0.973795360743063	FALSE	1.49398932036459e-21	2.09474693066992e-21	1	1	TRUE	FALSE	SIGNIFICANT
A01	centroid	15	-0.105816300264279	0.0106753723158539	-9.91218827161022	3.68485567162947e-23	-0.126739645524908	-0.0848929550036494	-0.1	0.1	0.707065975528235	3.98890510577054e-83	0.707065975528235	FALSE	3.31637010446652e-22	5.00762437426569e-22	1	0.77747918470947	TRUE	FALSE	SIGNIFICANT
A01	centroid	20	-0.0753740289376493	0.0161442960127155	-4.66877148921723	3.03006172695801e-06	-0.107016267678325	-0.0437317901969735	-0.1	0.1	0.0635838334854725	8.65714441124624e-28	0.0635838334854725	FALSE	2.72705555426221e-05	1.07062181019183e-05	0.572254501369252	0.0800461561693597	TRUE	FALSE	SIGNIFICANT
A01	cpps	-20	0.0833793961972601	0.0361657633468682	2.30547867599428	0.0211397796707645	0.0124958025639996	0.154262989830521	-0.1	0.1	1.98360214920257e-07	0.322913401758896	0.322913401758896	FALSE	0.190258017036881	0.0404479538826902	1	0.372052397678728	FALSE	FALSE	NOT_SIGNIFICANT
A01	cpps	-15	0.11898262350677	0.0239145137397608	4.97533108143224	6.51362137097096e-07	0.072111037869051	0.16585420914449	-0.1	0.1	0	0.786335328987972	0.786335328987972	FALSE	5.86225923387386e-06	2.46587094758186e-06	1	0.852265284997189	TRUE	FALSE	SIGNIFICANT
A01	cpps	-10	0.13021794320272	0.0286430431533951	4.54623283236178	5.46146184349727e-06	0.074078610214439	0.186357276191001	-0.1	0.1	4.44089209850063e-16	0.854283606650615	0.854283606650615	FALSE	4.91531565914754e-05	1.89187893925069e-05	1	0.922139127341804	TRUE	FALSE	SIGNIFICANT
A01	cpps	-5	0.101241617575192	0.0234749478246833	4.31275154821599	1.61235272590686e-05	0.0552315652998562	0.147251669850528	-0.1	0.1	0	0.521090692085804	0.521090692085804	FALSE	0.000145111745331617	5.21065210201607e-05	1	0.585123022892958	TRUE	FALSE	SIGNIFICANT
A01	cpps	0	0.0503065885288499	0.0290671730079977	1.73070110791332	0.083505087555415	-0.00666402369922045	0.10727720075692	-0.1	0.1	1.16417205542341e-07	0.043669383764195	0.043669383764195	TRUE	0.751545787998735	0.134932001232835	0.393024453877755	0.055503053705092	FALSE	FALSE	NOT_SIGNIFICANT
A01	cpps	5	3.08423301234248e-05	0.0234749478246832	0.00131384019908215	0.99895170749138	-0.0459792099452124	0.0460408946054593	-0.1	0.1	1.01677815593781e-05	1.02880195745014e-05	1.02880195745014e-05	TRUE	1	0.99895170749138	9.25921761705126e-05	1.89987817926332e-05	FALSE	TRUE	NOT_SIGNIFICANT
A01	cpps	10	-0.0436041369220648	0.0286430431533951	-1.52232905870186	0.127926650450251	-0.0997434699103456	0.0125351960662161	-0.1	0.1	0.0244811341263184	2.67135186498851e-07	0.0244811341263184	TRUE	1	0.194272563721012	0.220330207136866	0.0318014732523254	FALSE	FALSE	NOT_SIGNIFICANT
A01	cpps	15	-0.0797849775554755	0.0239145137397613	-3.33625757243902	0.000849144512549603	-0.126656563193196	-0.0329133919177551	-0.1	0.1	0.198970700441802	2.78488413714943e-14	0.198970700441802	FALSE	0.00764230061294643	0.00211289479648493	1	0.236976339852034	TRUE	FALSE	SIGNIFICANT
A01	cpps	20	-0.111734255437094	0.0361657633468661	-3.08950358286234	0.00200491288323137	-0.182617849070351	-0.0408506618038381	-0.1	0.1	0.627204177124485	2.39152222895032e-09	0.627204177124485	FALSE	0.0180442159490823	0.00472268368050056	1	0.695435593882797	TRUE	FALSE	SIGNIFICANT
A01	energy	-20	-0.0247005093069678	0.0148462110238422	-1.66375846788787	0.0961607068155503	-0.05379854822058	0.00439752960664446	-0.1	0.1	1.96862456003366e-07	2.2422274737356e-17	1.96862456003366e-07	TRUE	0.865446361339953	0.151682067298338	1.77176210403029e-06	4.29370788813926e-07	FALSE	TRUE	NOT_SIGNIFICANT
