feature	estimand	model	estimate	SE	CI_lower	CI_upper	tau	tau_squared	I_squared_percent	Q	Q_df	Q_pvalue	prediction_lower	prediction_upper	prediction_contains_zero	systems	converged	fixed_covariance_pass	between_covariance_pass	partition_moderator_retained	generality_interpretation
energy	POOLED	intercept_only_REML	0.00797289684806549	0.0105848786820706	-0.0127730841495187	0.0287188778456496	0.0330859469164744	0.00109467988335976	97.730408245371	396.547087450591	9	0	-0.0601120752186167	0.0760578689147477	TRUE	10	TRUE	TRUE	TRUE	FALSE	prediction interval includes zero; do not claim cross-system generality
energy	TRAIN	partition_adjusted_REML	0.00313317008685645	0.01759991178307	-0.0313620231390429	0.0376283633127557	0.0348578679777225	0.00121507095995233	97.9364217545037	387.676116350796	8	0	-0.073401550220794	0.0796678903945069	TRUE	10	TRUE	TRUE	TRUE	TRUE	prediction interval includes zero; do not claim cross-system generality
energy	EVAL	partition_adjusted_REML	0.0112156101368677	0.0143872962342315	-0.0169829723171348	0.0394141925908702	0.0348578679777225	0.00121507095995233	97.9364217545037	387.676116350796	8	0	-0.0626951814249424	0.0851264016986778	TRUE	10	TRUE	TRUE	TRUE	TRUE	prediction interval includes zero; do not claim cross-system generality
centroid	POOLED	intercept_only_REML	-0.0343502614973951	0.00953022419104554	-0.0530291576764367	-0.0156713653183535	0.0296082098620456	0.000876646091234933	96.4203819138266	251.423469860189	9	0	-0.0953133734772545	0.0266128504824642	TRUE	10	TRUE	TRUE	TRUE	FALSE	prediction interval includes zero; do not claim cross-system generality
centroid	TRAIN	partition_adjusted_REML	-0.0233482364753368	0.0151711133200081	-0.0530830721879285	0.00638659923725494	0.0298256263939216	0.00088956798978979	96.4892555710939	227.871899023212	8	0	-0.0889332900762903	0.0422368171256168	TRUE	10	TRUE	TRUE	TRUE	TRUE	prediction interval includes zero; do not claim cross-system generality
centroid	EVAL	partition_adjusted_REML	-0.0416927780808327	0.0123930264711718	-0.065982663623781	-0.0174028925378844	0.0298256263939216	0.00088956798978979	96.4892555710939	227.871899023212	8	0	-0.104995521628602	0.0216099654669367	TRUE	10	TRUE	TRUE	TRUE	TRUE	prediction interval includes zero; do not claim cross-system generality
tilt	POOLED	intercept_only_REML	0.00171907214530501	0.00746160675778437	-0.012905408366753	0.016343552657363	0.0230926816618684	0.000533271946336393	95.919302938252	220.55055456983	9	0	-0.0458458062034328	0.0492839504940428	TRUE	10	TRUE	TRUE	TRUE	FALSE	prediction interval includes zero; do not claim cross-system generality
tilt	TRAIN	partition_adjusted_REML	0.0141295403529497	0.0111372619037353	-0.00769909186476152	0.035958172570661	0.0217669255330467	0.0004737990471612	95.3613536730822	172.464107763002	8	0	-0.0337929878926465	0.0620520685985459	TRUE	10	TRUE	TRUE	TRUE	TRUE	prediction interval includes zero; do not claim cross-system generality
tilt	EVAL	partition_adjusted_REML	-0.0065797685620774	0.00911077711508978	-0.0244365635788251	0.0112770264546703	0.0217669255330467	0.0004737990471612	95.3613536730822	172.464107763002	8	0	-0.0528284945685741	0.0396689574444193	TRUE	10	TRUE	TRUE	TRUE	TRUE	prediction interval includes zero; do not claim cross-system generality
flux	POOLED	intercept_only_REML	0.00066618457276058	0.0149399718409693	-0.0286156221655818	0.0299479913111029	0.0469265463328073	0.00220210075072511	98.6541341239973	668.714480430297	9	0	-0.095856888103112	0.0971892572486331	TRUE	10	TRUE	TRUE	TRUE	FALSE	prediction interval includes zero; do not claim cross-system generality
flux	TRAIN	partition_adjusted_REML	-0.00432865953864037	0.0249490167002886	-0.0532278337208943	0.0445705146436135	0.0496021529065382	0.0024603735729636	98.7936323944141	663.147780407674	8	0	-0.113152154243461	0.10449483516618	TRUE	10	TRUE	TRUE	TRUE	TRUE	prediction interval includes zero; do not claim cross-system generality
flux	EVAL	partition_adjusted_REML	0.00399493863666214	0.0203741055905719	-0.0359375745380749	0.0439274518113992	0.0496021529065382	0.0024603735729636	98.7936323944141	663.147780407674	8	0	-0.101105153525592	0.109095030798916	TRUE	10	TRUE	TRUE	TRUE	TRUE	prediction interval includes zero; do not claim cross-system generality
flatness	POOLED	intercept_only_REML	0.0214764411290297	0.0152984864367636	-0.00850804130500152	0.0514609235630609	0.0480217375737076	0.00230608727959804	98.6313062899133	657.561288816767	9	0	-0.0773051791671525	0.120258061425212	TRUE	10	TRUE	TRUE	TRUE	FALSE	prediction interval includes zero; do not claim cross-system generality
flatness	TRAIN	partition_adjusted_REML	0.0469551090556526	0.0228762846891763	0.00211841496478193	0.0917918031465232	0.0453859053728737	0.00205988040651545	98.5678983600949	558.619568407874	8	0	-0.0526605267360347	0.14657074484734	TRUE	10	TRUE	TRUE	TRUE	TRUE	prediction interval includes zero; do not claim cross-system generality
flatness	EVAL	partition_adjusted_REML	0.00449147310362423	0.0186853329217871	-0.0321311064622191	0.0411140526694675	0.0453859053728737	0.00205988040651545	98.5678983600949	558.619568407874	8	0	-0.0917070668605576	0.100690013067806	TRUE	10	TRUE	TRUE	TRUE	TRUE	prediction interval includes zero; do not claim cross-system generality
cpps	POOLED	intercept_only_REML	0.0173073936630127	0.00968282019499075	-0.0016705851879463	0.0362853725139716	0.0282474397945397	0.000797917854946142	85.1092039924765	60.4400194284629	9	1.10279851917028e-09	-0.0412189445390279	0.0758337318650533	TRUE	10	TRUE	TRUE	TRUE	FALSE	prediction interval includes zero; do not claim cross-system generality
cpps	TRAIN	partition_adjusted_REML	0.0332928832157766	0.0145660546172978	0.00474394076902951	0.0618418256625237	0.026546488802399	0.000704716067735893	83.4959244647251	48.472875580951	8	8.02188500070855e-08	-0.026055072682608	0.0926408391141612	TRUE	10	TRUE	TRUE	TRUE	TRUE	prediction interval includes zero; do not claim cross-system generality
cpps	EVAL	partition_adjusted_REML	0.0067593643680827	0.0118426142694329	-0.0164517330828059	0.0299704618189713	0.026546488802399	0.000704716067735893	83.4959244647251	48.472875580951	8	8.02188500070855e-08	-0.0502133729662211	0.0637321017023865	TRUE	10	TRUE	TRUE	TRUE	TRUE	prediction interval includes zero; do not claim cross-system generality
