feature	row	column	value
energy	constant	constant	0.0012757468487883
energy	constant	ns1	0
energy	constant	ns2	0
energy	constant	ns3	0
energy	constant	ns4	0
energy	ns1	constant	0
energy	ns1	ns1	0.0034431197822491
energy	ns1	ns2	0
energy	ns1	ns3	0
energy	ns1	ns4	0
energy	ns2	constant	0
energy	ns2	ns1	0
energy	ns2	ns2	0.00868769693222082
energy	ns2	ns3	0
energy	ns2	ns4	0
energy	ns3	constant	0
energy	ns3	ns1	0
energy	ns3	ns2	0
energy	ns3	ns3	0.00926959455265441
energy	ns3	ns4	0
energy	ns4	constant	0
energy	ns4	ns1	0
energy	ns4	ns2	0
energy	ns4	ns3	0
energy	ns4	ns4	0.01251843929974
centroid	constant	constant	0.000798741727959447
centroid	constant	ns1	0
centroid	constant	ns2	0
centroid	constant	ns3	0
centroid	constant	ns4	0
centroid	ns1	constant	0
centroid	ns1	ns1	0.00484802861670712
centroid	ns1	ns2	0
centroid	ns1	ns3	0
centroid	ns1	ns4	0
centroid	ns2	constant	0
centroid	ns2	ns1	0
centroid	ns2	ns2	0.00837027971352613
centroid	ns2	ns3	0
centroid	ns2	ns4	0
centroid	ns3	constant	0
centroid	ns3	ns1	0
centroid	ns3	ns2	0
centroid	ns3	ns3	0.00700626924106868
centroid	ns3	ns4	0
centroid	ns4	constant	0
centroid	ns4	ns1	0
centroid	ns4	ns2	0
centroid	ns4	ns3	0
centroid	ns4	ns4	0.00785517946822334
tilt	constant	constant	0.00211372272327926
tilt	constant	ns1	0
tilt	constant	ns2	0
tilt	constant	ns3	0
tilt	constant	ns4	0
tilt	ns1	constant	0
tilt	ns1	ns1	0.00615002268134706
tilt	ns1	ns2	0
tilt	ns1	ns3	0
tilt	ns1	ns4	0
tilt	ns2	constant	0
tilt	ns2	ns1	0
tilt	ns2	ns2	0.00734103574771789
tilt	ns2	ns3	0
tilt	ns2	ns4	0
tilt	ns3	constant	0
tilt	ns3	ns1	0
tilt	ns3	ns2	0
tilt	ns3	ns3	0.00895179139020079
tilt	ns3	ns4	0
tilt	ns4	constant	0
tilt	ns4	ns1	0
tilt	ns4	ns2	0
tilt	ns4	ns3	0
tilt	ns4	ns4	0.0093976979563427
flux	constant	constant	0.00182473183226092
flux	constant	ns1	0
flux	constant	ns2	0
flux	constant	ns3	0
flux	constant	ns4	0
flux	ns1	constant	0
flux	ns1	ns1	0.00509192185476152
flux	ns1	ns2	0
flux	ns1	ns3	0
flux	ns1	ns4	0
flux	ns2	constant	0
flux	ns2	ns1	0
flux	ns2	ns2	0.00679844666780877
flux	ns2	ns3	0
flux	ns2	ns4	0
flux	ns3	constant	0
flux	ns3	ns1	0
flux	ns3	ns2	0
flux	ns3	ns3	0.0140921624491518
flux	ns3	ns4	0
flux	ns4	constant	0
flux	ns4	ns1	0
flux	ns4	ns2	0
flux	ns4	ns3	0
flux	ns4	ns4	0.0104009498064116
flatness	constant	constant	0.000827770795120402
flatness	constant	ns1	0
flatness	constant	ns2	0
flatness	constant	ns3	0
flatness	constant	ns4	0
flatness	ns1	constant	0
flatness	ns1	ns1	0.0105921946615925
flatness	ns1	ns2	0
flatness	ns1	ns3	0
flatness	ns1	ns4	0
flatness	ns2	constant	0
flatness	ns2	ns1	0
flatness	ns2	ns2	0.00771193664391897
flatness	ns2	ns3	0
flatness	ns2	ns4	0
flatness	ns3	constant	0
flatness	ns3	ns1	0
flatness	ns3	ns2	0
flatness	ns3	ns3	0.00663604341320051
flatness	ns3	ns4	0
flatness	ns4	constant	0
flatness	ns4	ns1	0
flatness	ns4	ns2	0
flatness	ns4	ns3	0
flatness	ns4	ns4	0.00470902966344855
cpps	constant	constant	3.11447022726182e-08
cpps	constant	ns1	0
cpps	constant	ns2	0
cpps	constant	ns3	0
cpps	constant	ns4	0
cpps	ns1	constant	0
cpps	ns1	ns1	0.0026430516122637
cpps	ns1	ns2	0
cpps	ns1	ns3	0
cpps	ns1	ns4	0
cpps	ns2	constant	0
cpps	ns2	ns1	0
cpps	ns2	ns2	0.00474187286663484
cpps	ns2	ns3	0
cpps	ns2	ns4	0
cpps	ns3	constant	0
cpps	ns3	ns1	0
cpps	ns3	ns2	0
cpps	ns3	ns3	0.00282684274334924
cpps	ns3	ns4	0
cpps	ns4	constant	0
cpps	ns4	ns1	0
cpps	ns4	ns2	0
cpps	ns4	ns3	0
cpps	ns4	ns4	0.0043018707431177
