feature	component	Q	Q_df	Q_pvalue	I_squared_percent
energy	overall	1021.42693900859	40	0	96.0839098253249
energy	constant	78.9267009289906	8	8.03801469828613e-14	89.8640131845907
energy	ns1	56.3110420087522	8	2.45351494676527e-09	85.7931948786233
energy	ns2	156.595606774307	8	0	94.8912998488329
energy	ns3	71.3682579368714	8	2.62334598488678e-12	88.7905348522359
energy	ns4	281.867888594194	8	0	97.1617909227264
centroid	overall	666.557289451928	40	0	93.9990154435353
centroid	constant	55.1691221658164	8	4.09307188142805e-09	85.4991348675892
centroid	ns1	69.7441689221214	8	5.52580203816433e-12	88.5295070202456
centroid	ns2	140.834295267717	8	0	94.31956542631
centroid	ns3	59.5093008771956	8	5.81708903268918e-10	86.5567232649751
centroid	ns4	159.569480305393	8	0	94.9865099612475
tilt	overall	767.479320798781	40	0	94.7881331892606
tilt	constant	131.40344206866	8	0	93.9118794195514
tilt	ns1	108.788250788235	8	0	92.6462647004292
tilt	ns2	155.330884514586	8	0	94.8497042136853
tilt	ns3	78.296400474562	8	1.07580611086178e-13	89.782416622589
tilt	ns4	250.774198232137	8	0	96.809879143709
flux	overall	1196.7335419893	40	0	96.6575684062879
flux	constant	89.8467955753115	8	4.44089209850063e-16	91.0959540084051
flux	ns1	67.8092403632268	8	1.33966171489419e-11	88.2021978757656
flux	ns2	117.330762877941	8	0	93.1816688106576
flux	ns3	92.8339613988903	8	1.11022302462516e-16	91.3824640471546
flux	ns4	224.564183443947	8	0	96.4375441010624
flatness	overall	1006.30164526877	40	0	96.0250487328462
flatness	constant	47.2669219316281	8	1.36377588222381e-07	83.0748445782612
flatness	ns1	130.632412190653	8	0	93.8759455897329
flatness	ns2	125.920074299086	8	0	93.6467635962489
flatness	ns3	51.0897143922864	8	2.52168453895862e-08	84.341270850385
flatness	ns4	99.1721808552465	8	0	91.9332216645745
cpps	overall	132.136505040555	40	8.81961170762224e-12	69.7282745689972
cpps	constant	14.5767082475004	8	0.06791788177397	45.1179246770489
cpps	ns1	17.9632838974147	8	0.0215034430330807	55.4647132134265
cpps	ns2	28.1888047816092	8	0.000439648516738833	71.6199389722996
cpps	ns3	16.6680047199229	8	0.0337578879502646	52.0038532840239
cpps	ns4	29.465035812505	8	0.000262690777906305	72.8491760508745
