system	feature	phone_pair_level_1	phone_pair_level_2	regions_and_times_checked	max_abs_contrast_vector_difference	pass
A01	centroid	AA0â†’L	Zâ†’Y	27	0	TRUE
A01	cpps	AA1->B	ZH->ER0	27	0	TRUE
A01	energy	AA0â†’L	Zâ†’Y	27	0	TRUE
A01	flatness	AA0->L	ZH->ER0	27	0	TRUE
A01	flux	AA0â†’L	Zâ†’Y	24	0	TRUE
A01	tilt	AA0â†’L	ZHâ†’ER0	27	0	TRUE
A02	centroid	AA0â†’L	ZHâ†’ER0	27	0	TRUE
A02	cpps	AA1->B	ZH->ER0	27	0	TRUE
A02	energy	AA0â†’L	ZHâ†’ER0	27	0	TRUE
A02	flatness	AA0->L	ZH->ER0	27	0	TRUE
A02	flux	AA0â†’L	ZHâ†’ER0	24	0	TRUE
A02	tilt	AA0â†’L	ZHâ†’ER0	27	0	TRUE
A03	centroid	AA0â†’L	ZHâ†’ER0	27	0	TRUE
A03	cpps	AA1->B	ZH->ER0	27	0	TRUE
A03	energy	AA0â†’L	ZHâ†’ER0	27	0	TRUE
A03	flatness	AA0->L	ZH->ER0	27	0	TRUE
A03	flux	AA0â†’L	ZHâ†’ER0	24	0	TRUE
A03	tilt	AA0â†’L	ZHâ†’ER0	27	0	TRUE
A04	centroid	AA0â†’L	ZHâ†’ER0	27	0	TRUE
A04	cpps	AA1->B	ZH->ER0	27	0	TRUE
A04	energy	AA0â†’L	ZHâ†’ER0	27	0	TRUE
A04	flatness	AA0->L	ZH->ER0	27	0	TRUE
A04	flux	AA0â†’L	ZHâ†’ER0	24	0	TRUE
A04	tilt	AA0â†’L	ZHâ†’ER0	27	0	TRUE
A07	centroid	AA0â†’L	ZHâ†’W	27	0	TRUE
A07	cpps	AA1->B	ZH->IY1	27	0	TRUE
A07	energy	AA0â†’L	ZHâ†’W	27	0	TRUE
A07	flatness	AA0->L	ZH->W	27	0	TRUE
A07	flux	AA0â†’L	ZHâ†’W	24	0	TRUE
A07	tilt	AA0â†’L	ZHâ†’W	27	0	TRUE
A08	centroid	AA0â†’L	ZHâ†’W	27	0	TRUE
A08	cpps	AA1->B	ZH->IY1	27	0	TRUE
A08	energy	AA0â†’L	ZHâ†’W	27	0	TRUE
A08	flatness	AA0->L	ZH->W	27	0	TRUE
A08	flux	AA0â†’L	ZHâ†’W	24	0	TRUE
A08	tilt	AA0â†’L	ZHâ†’W	27	0	TRUE
A09	centroid	AA0â†’L	ZHâ†’W	27	0	TRUE
A09	cpps	AA1->B	ZH->IY1	27	0	TRUE
A09	energy	AA0â†’L	ZHâ†’W	27	0	TRUE
A09	flatness	AA0->L	ZH->W	27	0	TRUE
A09	flux	AA0â†’L	ZHâ†’W	24	0	TRUE
A09	tilt	AA0â†’L	ZHâ†’W	27	0	TRUE
A10	centroid	AA0â†’L	ZHâ†’W	27	0	TRUE
A10	cpps	AA1->B	ZH->IY1	27	0	TRUE
A10	energy	AA0â†’L	ZHâ†’W	27	0	TRUE
A10	flatness	AA0->L	ZH->W	27	0	TRUE
A10	flux	AA0â†’L	ZHâ†’W	24	0	TRUE
A10	tilt	AA0â†’L	ZHâ†’W	27	0	TRUE
A11	centroid	AA0â†’L	ZHâ†’IY1	27	0	TRUE
A11	cpps	AA1->B	ZH->IY1	27	0	TRUE
A11	energy	AA0â†’L	ZHâ†’IY1	27	0	TRUE
A11	flatness	AA0->L	ZH->IY1	27	0	TRUE
A11	flux	AA0â†’L	ZHâ†’IY1	24	0	TRUE
A11	tilt	AA0â†’L	ZHâ†’IY1	27	0	TRUE
A12	centroid	AA0â†’L	ZHâ†’IY1	27	0	TRUE
A12	cpps	AA1->B	ZH->IY1	27	0	TRUE
A12	energy	AA0â†’L	ZHâ†’IY1	27	0	TRUE
A12	flatness	AA0->L	ZH->IY1	27	0	TRUE
A12	flux	AA0â†’L	ZHâ†’IY1	24	0	TRUE
A12	tilt	AA0â†’L	ZHâ†’IY1	27	0	TRUE
