feature	region	systems_positive	systems_negative	BH_significant_positive	BH_significant_negative	median_average_effect	minimum_average_effect	maximum_average_effect
centroid	Boundary	4	6	4	5	-0.0120913500499955	-0.128998279843101	0.0769378663914873
centroid	Interior_A	6	4	4	4	0.00641256214895179	-0.0699816143329835	0.138816498517857
centroid	Interior_B	5	5	4	3	0.00512441979976266	-0.100359749605121	0.14251379356552
cpps	Boundary	7	3	6	2	0.0735996602994735	-0.321529645259875	0.636653407416544
cpps	Interior_A	6	4	5	3	0.0956643128892789	-0.450806556516446	0.67050077775817
cpps	Interior_B	6	4	4	2	0.0266042647020052	-0.23454838955506	0.652981244742164
energy	Boundary	0	10	0	9	-0.0761797772850597	-0.249143134332953	-0.00778641911468478
energy	Interior_A	0	10	0	10	-0.0716650229963852	-0.238210344076413	-0.0221207557526088
energy	Interior_B	0	10	0	9	-0.0689984286259046	-0.240370727061273	-0.0198945508299377
flatness	Boundary	3	7	3	5	-0.0430013115232693	-0.190123059367442	0.104398142304327
flatness	Interior_A	5	5	4	5	-0.0428596200927916	-0.273963681936417	0.0973137546549981
flatness	Interior_B	5	5	5	5	-0.031549391286655	-0.326552216900684	0.112581162479953
flux	Boundary	0	10	0	8	-0.080202675550123	-0.217620606440172	-0.00660338941755627
flux	Interior_A	2	8	2	7	-0.111417736037512	-0.292405508971859	0.0640748653074341
flux	Interior_B	2	8	2	7	-0.10025099907022	-0.307181757201382	0.0801046893174357
tilt	Boundary	6	4	5	2	0.0303225680205474	-0.0648141864336544	0.535952082928938
tilt	Interior_A	6	4	5	2	0.0287618719684081	-0.0813268326173936	0.588125248202628
tilt	Interior_B	7	3	5	2	0.0241666960496276	-0.068756174345244	0.552708070971837
