system	feature	region	relative_time_ms	estimate_tts_minus_bf	SE	CI95_low	CI95_high	wald_z	p_raw	p_bonferroni_within_trajectory	p_BH_global
A01	centroid	Boundary	-20	-0.0303011850906401	0.0145142528677765	-0.0587485979739893	-0.00185377220729099	-2.08768479967113	0.0368262768883103	0.331436491994793	0.0485118311950401
A01	centroid	Boundary	-15	-0.0601978242884565	0.0106245183357713	-0.0810214975796538	-0.0393741509972593	-5.66593443448429	1.46225435248328e-08	1.31602891723495e-07	3.08353371412256e-08
A01	centroid	Boundary	-10	-0.0936136159794934	0.0120787216076855	-0.117287475309843	-0.069939756649144	-7.75029171298462	9.1681686469774e-15	8.25135178227966e-14	2.40550959549407e-14
A01	centroid	Boundary	-5	-0.130973960366679	0.010493478070336	-0.151540799457098	-0.110407121276259	-12.481463199216	9.42387595388905e-36	8.48148835850015e-35	4.4996885185236e-35
A01	centroid	Boundary	0	-0.160329248491771	0.0122125820985849	-0.184265469563236	-0.136393027420306	-13.1282023078763	2.26981035333941e-39	2.04282931800547e-38	1.18327818419989e-38
A01	centroid	Boundary	5	-0.170141745665603	0.0104934780703356	-0.190708584756022	-0.149574906575184	-16.2140469084872	4.012539428616e-59	3.6112854857544e-58	3.34028151387405e-58
A01	centroid	Boundary	10	-0.162896223436469	0.0120787216076853	-0.186570082766818	-0.13922236410612	-13.4862139162826	1.88536606308312e-41	1.6968294567748e-40	1.01963674840209e-40
A01	centroid	Boundary	15	-0.144506982002029	0.0106245183357717	-0.165330655293227	-0.123683308710831	-13.6012737175565	3.93519860204467e-42	3.5416787418402e-41	2.18012744851952e-41
A01	centroid	Boundary	20	-0.120583929919937	0.0145142528677804	-0.149031342803294	-0.09213651703658	-8.30796672887076	9.73558146461946e-17	8.76202331815752e-16	2.72527720576496e-16
A01	centroid	Interior_A	-20	-0.0909079641913024	0.01451425286778	-0.119355377074658	-0.0624605513079464	-6.26335816382998	3.76773862252199e-10	3.39096476026979e-09	8.40210997168298e-10
A01	centroid	Interior_A	-15	-0.082700878526303	0.0106245183357713	-0.1035245518175	-0.0618772052351057	-7.78396496788566	7.02862279220972e-15	6.32576051298874e-14	1.85331844769709e-14
A01	centroid	Interior_A	-10	-0.0747253869134142	0.0120787216076851	-0.0983992462437627	-0.0510515275830657	-6.18653110324774	6.15025542022405e-10	5.53522987820165e-09	1.36196464041173e-09
A01	centroid	Interior_A	-5	-0.0667349561218856	0.0104934780703357	-0.0873017952123045	-0.0461681170314667	-6.35966032182793	2.02200389574279e-10	1.81980350616851e-09	4.57975241343452e-10
A01	centroid	Interior_A	0	-0.0565705437895224	0.012212582098585	-0.0805067648609876	-0.0326343227180571	-4.63215258926093	3.61883268657727e-06	3.25694941791954e-05	6.78531128733238e-06
A01	centroid	Interior_A	5	-0.043516317388009	0.0104934780703357	-0.0640831564784279	-0.0229494782975902	-4.14698702339947	3.3687914783697e-05	0.000303191233053273	5.96478669332719e-05
A01	centroid	Interior_A	10	-0.0345417928559898	0.0120787216076851	-0.0582156521863383	-0.0108679335256412	-2.8597225747808	0.00424011757710281	0.0381610581939252	0.00623662067307443
A01	centroid	Interior_A	15	-0.0359751348292115	0.0106245183357714	-0.0567988081204089	-0.0151514615380141	-3.38604854283961	0.000709068395973676	0.00638161556376308	0.00114226823667492
A01	centroid	Interior_A	20	-0.0438937542648724	0.0145142528677802	-0.0723411671482287	-0.0154463413815161	-3.02418282668281	0.002493057292542	0.022437515632878	0.003743117181437
A01	centroid	Interior_B	-20	-0.103932048805499	0.01451425286778	-0.132379461688855	-0.0754846359221428	-7.16068885889512	8.02726563459819e-13	7.22453907113837e-12	1.98496926267669e-12
A01	centroid	Interior_B	-15	-0.0961130771640412	0.0106245183357713	-0.116936750455238	-0.0752894038728439	-9.04634677324065	1.47831436335304e-19	1.33048292701773e-18	4.59984312667578e-19
A01	centroid	Interior_B	-10	-0.0872983907541335	0.0120787216076851	-0.110972250084482	-0.063624531423785	-7.22745283727625	4.92136965426799e-13	4.42923268884119e-12	1.22648554079719e-12
A01	centroid	Interior_B	-5	-0.0766662049054565	0.0104934780703357	-0.0972330439958754	-0.0560993658150376	-7.30608139566099	2.75045598736893e-13	2.47541038863204e-12	6.94162701574063e-13
A01	centroid	Interior_B	0	-0.0640904553402131	0.012212582098585	-0.0880266764116784	-0.0401542342687479	-5.24790374573111	1.53839633448817e-07	1.38455670103935e-06	3.10412458354846e-07
A01	centroid	Interior_B	5	-0.0506623569406022	0.0104934780703357	-0.071229196031021	-0.0300955178501834	-4.82798521148303	1.37921332954225e-06	1.24129199658802e-05	2.63259206959445e-06
A01	centroid	Interior_B	10	-0.0416465208362825	0.0120787216076851	-0.065320380166631	-0.0179726615059339	-3.44792455600474	0.000564911806428627	0.00508420625785764	0.000915606291765052
A01	centroid	Interior_B	15	-0.0414062286462888	0.0106245183357714	-0.0622299019374862	-0.0205825553550914	-3.89723348745884	9.72978033798099e-05	0.000875680230418289	0.000166706365704631
A01	centroid	Interior_B	20	-0.0465260476997025	0.0145142528677802	-0.0749734605830588	-0.0180786348163462	-3.20554203675096	0.00134808354232626	0.0121327518809363	0.00209526181065371
